NumberGroups	NumberGenes	Classification	NumberGenotypes	Sample
51415	123956	Soft-Core-transcriptome	1	11
0	0	Acc-transcriptome	1	11
0	0	Exc-transcriptome	1	11
40794	113911	Pan-transcriptome	1	12
40794	113911	Hard-Core-transcriptome	1	12
40794	113911	Soft-Core-transcriptome	1	12
0	0	Acc-transcriptome	1	12
0	0	Exc-transcriptome	1	12
51415	123956	Pan-transcriptome	1	13
51415	123956	Hard-Core-transcriptome	1	13
51415	123956	Soft-Core-transcriptome	1	13
0	0	Acc-transcriptome	1	13
0	0	Exc-transcriptome	1	13
0	0	Pan-transcriptome	1	14
0	0	Hard-Core-transcriptome	1	14
0	0	Soft-Core-transcriptome	1	14
0	0	Acc-transcriptome	1	14
0	0	Exc-transcriptome	1	14
44106	118639	Pan-transcriptome	1	15
44106	118639	Hard-Core-transcriptome	1	15
44106	118639	Soft-Core-transcriptome	1	15
0	0	Acc-transcriptome	1	15
0	0	Exc-transcriptome	1	15
31135	88427	Pan-transcriptome	1	16
31135	88427	Hard-Core-transcriptome	1	16
31135	88427	Soft-Core-transcriptome	1	16
0	0	Acc-transcriptome	1	16
0	0	Exc-transcriptome	1	16
59963	108631	Pan-transcriptome	1	17
59963	108631	Hard-Core-transcriptome	1	17
59963	108631	Soft-Core-transcriptome	1	17
0	0	Acc-transcriptome	1	17
0	0	Exc-transcriptome	1	17
69514	202338	Pan-transcriptome	2	0
2415	10424	Hard-Core-transcriptome	2	0
2415	10424	Soft-Core-transcriptome	2	0
0	0	Acc-transcriptome	2	0
67099	191914	Exc-transcriptome	2	0
75003	246160	Pan-transcriptome	2	1
28163	158628	Hard-Core-transcriptome	2	1
28163	158628	Soft-Core-transcriptome	2	1
0	0	Acc-transcriptome	2	1
46840	87532	Exc-transcriptome	2	1
71466	129841	Pan-transcriptome	2	2
0	0	Hard-Core-transcriptome	2	2
0	0	Soft-Core-transcriptome	2	2
0	0	Acc-transcriptome	2	2
71466	129841	Exc-transcriptome	2	2
50078	136046	Pan-transcriptome	2	3
0	0	Hard-Core-transcriptome	2	3
0	0	Soft-Core-transcriptome	2	3
0	0	Acc-transcriptome	2	3
50078	136046	Exc-transcriptome	2	3
96274	253797	Pan-transcriptome	2	4
26607	141820	Hard-Core-transcriptome	2	4
26607	141820	Soft-Core-transcriptome	2	4
0	0	Acc-transcriptome	2	4
69667	111977	Exc-transcriptome	2	4
77754	177246	Pan-transcriptome	2	5
3300	12307	Hard-Core-transcriptome	2	5
3300	12307	Soft-Core-transcriptome	2	5
0	0	Acc-transcriptome	2	5
74454	164939	Exc-transcriptome	2	5
72684	207066	Pan-transcriptome	2	6
2557	11553	Hard-Core-transcriptome	2	6
2557	11553	Soft-Core-transcriptome	2	6
0	0	Acc-transcriptome	2	6
70127	195513	Exc-transcriptome	2	6
58934	271498	Pan-transcriptome	2	7
26740	205537	Hard-Core-transcriptome	2	7
26740	205537	Soft-Core-transcriptome	2	7
0	0	Acc-transcriptome	2	7
32194	65961	Exc-transcriptome	2	7
70738	189166	Pan-transcriptome	2	8
2526	10008	Hard-Core-transcriptome	2	8
2526	10008	Soft-Core-transcriptome	2	8
0	0	Acc-transcriptome	2	8
68212	179158	Exc-transcriptome	2	8
40794	113911	Pan-transcriptome	2	9
0	0	Hard-Core-transcriptome	2	9
0	0	Soft-Core-transcriptome	2	9
0	0	Acc-transcriptome	2	9
40794	113911	Exc-transcriptome	2	9
84499	230835	Pan-transcriptome	2	10
27215	135541	Hard-Core-transcriptome	2	10
27215	135541	Soft-Core-transcriptome	2	10
0	0	Acc-transcriptome	2	10
57284	95294	Exc-transcriptome	2	10
80249	193396	Pan-transcriptome	2	11
25191	105262	Hard-Core-transcriptome	2	11
25191	105262	Soft-Core-transcriptome	2	11
0	0	Acc-transcriptome	2	11
55058	88134	Exc-transcriptome	2	11
98921	234418	Pan-transcriptome	2	12
28066	124558	Hard-Core-transcriptome	2	12
28066	124558	Soft-Core-transcriptome	2	12
0	0	Acc-transcriptome	2	12
70855	109860	Exc-transcriptome	2	12
91362	238472	Pan-transcriptome	2	13
40067	163390	Hard-Core-transcriptome	2	13
40067	163390	Soft-Core-transcriptome	2	13
0	0	Acc-transcriptome	2	13
51295	75082	Exc-transcriptome	2	13
55094	230306	Pan-transcriptome	2	14
31209	186469	Hard-Core-transcriptome	2	14
31209	186469	Soft-Core-transcriptome	2	14
0	0	Acc-transcriptome	2	14
23885	43837	Exc-transcriptome	2	14
49155	221216	Pan-transcriptome	2	15
18094	148592	Hard-Core-transcriptome	2	15
18094	148592	Soft-Core-transcriptome	2	15
0	0	Acc-transcriptome	2	15
31061	72624	Exc-transcriptome	2	15
58934	271498	Pan-transcriptome	2	16
26740	205537	Hard-Core-transcriptome	2	16
26740	205537	Soft-Core-transcriptome	2	16
0	0	Acc-transcriptome	2	16
32194	65961	Exc-transcriptome	2	16
80249	193396	Pan-transcriptome	2	17
25191	105262	Hard-Core-transcriptome	2	17
25191	105262	Soft-Core-transcriptome	2	17
0	0	Acc-transcriptome	2	17
55058	88134	Exc-transcriptome	2	17
67676	233871	Pan-transcriptome	3	0
0	0	Hard-Core-transcriptome	3	0
0	0	Soft-Core-transcriptome	3	0
26272	155893	Acc-transcriptome	3	0
41404	77978	Exc-transcriptome	3	0
65653	339855	Pan-transcriptome	3	1
15346	188707	Hard-Core-transcriptome	3	1
15346	188707	Soft-Core-transcriptome	3	1
15010	79563	Acc-transcriptome	3	1
35297	71585	Exc-transcriptome	3	1
109250	365464	Pan-transcriptome	3	2
18969	178444	Hard-Core-transcriptome	3	2
18969	178444	Soft-Core-transcriptome	3	2
17890	72656	Acc-transcriptome	3	2
72391	114364	Exc-transcriptome	3	2
113387	327291	Pan-transcriptome	3	3
18962	137602	Hard-Core-transcriptome	3	3
18962	137602	Soft-Core-transcriptome	3	3
30037	96602	Acc-transcriptome	3	3
64388	93087	Exc-transcriptome	3	3
85638	337127	Pan-transcriptome	3	4
17341	165360	Hard-Core-transcriptome	3	4
17341	165360	Soft-Core-transcriptome	3	4
20101	86890	Acc-transcriptome	3	4
48196	84877	Exc-transcriptome	3	4
93841	328009	Pan-transcriptome	3	5
18462	166470	Hard-Core-transcriptome	3	5
18462	166470	Soft-Core-transcriptome	3	5
15433	64080	Acc-transcriptome	3	5
59946	97459	Exc-transcriptome	3	5
66026	326683	Pan-transcriptome	3	6
16162	185292	Hard-Core-transcriptome	3	6
16162	185292	Soft-Core-transcriptome	3	6
14340	72983	Acc-transcriptome	3	6
35524	68408	Exc-transcriptome	3	6
97564	379204	Pan-transcriptome	3	7
17222	193893	Hard-Core-transcriptome	3	7
17222	193893	Soft-Core-transcriptome	3	7
15848	81508	Acc-transcriptome	3	7
64494	103803	Exc-transcriptome	3	7
110110	372436	Pan-transcriptome	3	8
19301	182832	Hard-Core-transcriptome	3	8
19301	182832	Soft-Core-transcriptome	3	8
18275	74010	Acc-transcriptome	3	8
72534	115594	Exc-transcriptome	3	8
106108	374518	Pan-transcriptome	3	9
23498	198334	Hard-Core-transcriptome	3	9
23498	198334	Soft-Core-transcriptome	3	9
28403	93148	Acc-transcriptome	3	9
54207	83036	Exc-transcriptome	3	9
85689	334575	Pan-transcriptome	3	10
15769	174248	Hard-Core-transcriptome	3	10
15769	174248	Soft-Core-transcriptome	3	10
13297	66682	Acc-transcriptome	3	10
56623	93645	Exc-transcriptome	3	10
90207	313514	Pan-transcriptome	3	11
17650	149787	Hard-Core-transcriptome	3	11
17650	149787	Soft-Core-transcriptome	3	11
17956	71693	Acc-transcriptome	3	11
54601	92034	Exc-transcriptome	3	11
98332	297797	Pan-transcriptome	3	12
2292	14525	Hard-Core-transcriptome	3	12
2292	14525	Soft-Core-transcriptome	3	12
30311	146162	Acc-transcriptome	3	12
65729	137110	Exc-transcriptome	3	12
55094	230306	Pan-transcriptome	3	13
0	0	Hard-Core-transcriptome	3	13
0	0	Soft-Core-transcriptome	3	13
31209	186469	Acc-transcriptome	3	13
23885	43837	Exc-transcriptome	3	13
49263	218972	Pan-transcriptome	3	14
0	0	Hard-Core-transcriptome	3	14
0	0	Soft-Core-transcriptome	3	14
19389	153274	Acc-transcriptome	3	14
29874	65698	Exc-transcriptome	3	14
94367	328456	Pan-transcriptome	3	15
2031	15664	Hard-Core-transcriptome	3	15
2031	15664	Soft-Core-transcriptome	3	15
23823	153624	Acc-transcriptome	3	15
68513	159168	Exc-transcriptome	3	15
65376	344090	Pan-transcriptome	3	16
17815	203454	Hard-Core-transcriptome	3	16
17815	203454	Soft-Core-transcriptome	3	16
17656	86009	Acc-transcriptome	3	16
29905	54627	Exc-transcriptome	3	16
83612	329847	Pan-transcriptome	3	17
14611	165202	Hard-Core-transcriptome	3	17
14611	165202	Soft-Core-transcriptome	3	17
14378	70910	Acc-transcriptome	3	17
54623	93735	Exc-transcriptome	3	17
90586	431260	Pan-transcriptome	4	0
14328	204087	Hard-Core-transcriptome	4	0
14328	204087	Soft-Core-transcriptome	4	0
25170	140457	Acc-transcriptome	4	0
51088	86716	Exc-transcriptome	4	0
68628	357262	Pan-transcriptome	4	1
0	0	Hard-Core-transcriptome	4	1
0	0	Soft-Core-transcriptome	4	1
31937	286233	Acc-transcriptome	4	1
36691	71029	Exc-transcriptome	4	1
87887	323955	Pan-transcriptome	4	2
0	0	Hard-Core-transcriptome	4	2
0	0	Soft-Core-transcriptome	4	2
35603	235101	Acc-transcriptome	4	2
52284	88854	Exc-transcriptome	4	2
94314	467646	Pan-transcriptome	4	3
14305	226531	Hard-Core-transcriptome	4	3
14305	226531	Soft-Core-transcriptome	4	3
26192	154215	Acc-transcriptome	4	3
53817	86900	Exc-transcriptome	4	3
102037	451804	Pan-transcriptome	4	4
1825	21660	Hard-Core-transcriptome	4	4
1825	21660	Soft-Core-transcriptome	4	4
33951	278821	Acc-transcriptome	4	4
66261	151323	Exc-transcriptome	4	4
121722	449097	Pan-transcriptome	4	5
1883	18858	Hard-Core-transcriptome	4	5
1883	18858	Soft-Core-transcriptome	4	5
42432	264760	Acc-transcriptome	4	5
77407	165479	Exc-transcriptome	4	5
109713	460512	Pan-transcriptome	4	6
15275	197974	Hard-Core-transcriptome	4	6
15275	197974	Soft-Core-transcriptome	4	6
36980	167403	Acc-transcriptome	4	6
57458	95135	Exc-transcriptome	4	6
92256	368039	Pan-transcriptome	4	7
0	0	Hard-Core-transcriptome	4	7
0	0	Soft-Core-transcriptome	4	7
36694	270506	Acc-transcriptome	4	7
55562	97533	Exc-transcriptome	4	7
99263	480243	Pan-transcriptome	4	8
15900	223334	Hard-Core-transcriptome	4	8
15900	223334	Soft-Core-transcriptome	4	8
34654	170532	Acc-transcriptome	4	8
48709	86377	Exc-transcriptome	4	8
102687	355419	Pan-transcriptome	4	9
0	0	Hard-Core-transcriptome	4	9
0	0	Soft-Core-transcriptome	4	9
34872	248148	Acc-transcriptome	4	9
67815	107271	Exc-transcriptome	4	9
113568	469733	Pan-transcriptome	4	10
14929	205641	Hard-Core-transcriptome	4	10
14929	205641	Soft-Core-transcriptome	4	10
39504	169790	Acc-transcriptome	4	10
59135	94302	Exc-transcriptome	4	10
96730	468010	Pan-transcriptome	4	11
17212	221140	Hard-Core-transcriptome	4	11
17212	221140	Soft-Core-transcriptome	4	11
28771	146634	Acc-transcriptome	4	11
50747	100236	Exc-transcriptome	4	11
109400	435265	Pan-transcriptome	4	12
1880	17285	Hard-Core-transcriptome	4	12
1880	17285	Soft-Core-transcriptome	4	12
62195	339313	Acc-transcriptome	4	12
45325	78667	Exc-transcriptome	4	12
96283	458566	Pan-transcriptome	4	13
17395	225672	Hard-Core-transcriptome	4	13
17395	225672	Soft-Core-transcriptome	4	13
28643	142683	Acc-transcriptome	4	13
50245	90211	Exc-transcriptome	4	13
91372	362827	Pan-transcriptome	4	14
0	0	Hard-Core-transcriptome	4	14
0	0	Soft-Core-transcriptome	4	14
43494	280579	Acc-transcriptome	4	14
47878	82248	Exc-transcriptome	4	14
74651	342910	Pan-transcriptome	4	15
0	0	Hard-Core-transcriptome	4	15
0	0	Soft-Core-transcriptome	4	15
34796	274206	Acc-transcriptome	4	15
39855	68704	Exc-transcriptome	4	15
89798	338937	Pan-transcriptome	4	16
0	0	Hard-Core-transcriptome	4	16
0	0	Soft-Core-transcriptome	4	16
36330	255313	Acc-transcriptome	4	16
53468	83624	Exc-transcriptome	4	16
103442	345783	Pan-transcriptome	4	17
0	0	Hard-Core-transcriptome	4	17
0	0	Soft-Core-transcriptome	4	17
28888	166321	Acc-transcriptome	4	17
74554	179462	Exc-transcriptome	4	17
125622	570879	Pan-transcriptome	5	0
13722	217840	Hard-Core-transcriptome	5	0
13722	217840	Soft-Core-transcriptome	5	0
44655	237032	Acc-transcriptome	5	0
67245	116007	Exc-transcriptome	5	0
118911	473872	Pan-transcriptome	5	1
0	0	Hard-Core-transcriptome	5	1
0	0	Soft-Core-transcriptome	5	1
64207	364597	Acc-transcriptome	5	1
54704	109275	Exc-transcriptome	5	1
95963	396218	Pan-transcriptome	5	2
0	0	Hard-Core-transcriptome	5	2
0	0	Soft-Core-transcriptome	5	2
32199	252447	Acc-transcriptome	5	2
63764	143771	Exc-transcriptome	5	2
115135	453390	Pan-transcriptome	5	3
0	0	Hard-Core-transcriptome	5	3
0	0	Soft-Core-transcriptome	5	3
42750	341545	Acc-transcriptome	5	3
72385	111845	Exc-transcriptome	5	3
116846	584775	Pan-transcriptome	5	4
13465	234890	Hard-Core-transcriptome	5	4
13465	234890	Soft-Core-transcriptome	5	4
45066	252294	Acc-transcriptome	5	4
58315	97591	Exc-transcriptome	5	4
94111	466201	Pan-transcriptome	5	5
0	0	Hard-Core-transcriptome	5	5
0	0	Soft-Core-transcriptome	5	5
50710	392664	Acc-transcriptome	5	5
43401	73537	Exc-transcriptome	5	5
120868	553956	Pan-transcriptome	5	6
12947	212829	Hard-Core-transcriptome	5	6
12947	212829	Soft-Core-transcriptome	5	6
45570	238919	Acc-transcriptome	5	6
62351	102208	Exc-transcriptome	5	6
99747	474983	Pan-transcriptome	5	7
0	0	Hard-Core-transcriptome	5	7
0	0	Soft-Core-transcriptome	5	7
49055	394402	Acc-transcriptome	5	7
50692	80581	Exc-transcriptome	5	7
117902	437681	Pan-transcriptome	5	8
0	0	Hard-Core-transcriptome	5	8
0	0	Soft-Core-transcriptome	5	8
53844	304701	Acc-transcriptome	5	8
64058	132980	Exc-transcriptome	5	8
116644	604748	Pan-transcriptome	5	9
14977	255681	Hard-Core-transcriptome	5	9
14977	255681	Soft-Core-transcriptome	5	9
46264	254340	Acc-transcriptome	5	9
55403	94727	Exc-transcriptome	5	9
123830	404027	Pan-transcriptome	5	10
0	0	Hard-Core-transcriptome	5	10
0	0	Soft-Core-transcriptome	5	10
42534	235697	Acc-transcriptome	5	10
81296	168330	Exc-transcriptome	5	10
115090	419841	Pan-transcriptome	5	11
0	0	Hard-Core-transcriptome	5	11
0	0	Soft-Core-transcriptome	5	11
40206	259907	Acc-transcriptome	5	11
74884	159934	Exc-transcriptome	5	11
97401	561764	Pan-transcriptome	5	12
1596	24372	Hard-Core-transcriptome	5	12
1596	24372	Soft-Core-transcriptome	5	12
64624	478201	Acc-transcriptome	5	12
31181	59191	Exc-transcriptome	5	12
90203	346083	Pan-transcriptome	5	13
0	0	Hard-Core-transcriptome	5	13
0	0	Soft-Core-transcriptome	5	13
26018	189199	Acc-transcriptome	5	13
64185	156884	Exc-transcriptome	5	13
92689	338448	Pan-transcriptome	5	14
0	0	Hard-Core-transcriptome	5	14
0	0	Soft-Core-transcriptome	5	14
37963	243631	Acc-transcriptome	5	14
54726	94817	Exc-transcriptome	5	14
111238	537314	Pan-transcriptome	5	15
1616	23693	Hard-Core-transcriptome	5	15
1616	23693	Soft-Core-transcriptome	5	15
39492	353181	Acc-transcriptome	5	15
70130	160440	Exc-transcriptome	5	15
105977	468225	Pan-transcriptome	5	16
0	0	Hard-Core-transcriptome	5	16
0	0	Soft-Core-transcriptome	5	16
64918	392841	Acc-transcriptome	5	16
41059	75384	Exc-transcriptome	5	16
117818	568348	Pan-transcriptome	5	17
13488	227097	Hard-Core-transcriptome	5	17
13488	227097	Soft-Core-transcriptome	5	17
38839	225348	Acc-transcriptome	5	17
65491	115903	Exc-transcriptome	5	17
114990	503160	Pan-transcriptome	6	0
0	0	Hard-Core-transcriptome	6	0
0	0	Soft-Core-transcriptome	6	0
43232	388070	Acc-transcriptome	6	0
71758	115090	Exc-transcriptome	6	0
117630	586307	Pan-transcriptome	6	1
0	0	Hard-Core-transcriptome	6	1
0	0	Soft-Core-transcriptome	6	1
75741	508647	Acc-transcriptome	6	1
41889	77660	Exc-transcriptome	6	1
149898	716639	Pan-transcriptome	6	2
13923	258653	Hard-Core-transcriptome	6	2
13923	258653	Soft-Core-transcriptome	6	2
59330	328717	Acc-transcriptome	6	2
76645	129269	Exc-transcriptome	6	2
119096	743835	Pan-transcriptome	6	3
15043	336093	Hard-Core-transcriptome	6	3
15043	336093	Soft-Core-transcriptome	6	3
44416	302285	Acc-transcriptome	6	3
59637	105457	Exc-transcriptome	6	3
114298	677590	Pan-transcriptome	6	4
14676	303535	Hard-Core-transcriptome	6	4
14676	303535	Soft-Core-transcriptome	6	4
47884	287418	Acc-transcriptome	6	4
51738	86637	Exc-transcriptome	6	4
128508	736898	Pan-transcriptome	6	5
14247	324833	Hard-Core-transcriptome	6	5
14247	324833	Soft-Core-transcriptome	6	5
41905	292339	Acc-transcriptome	6	5
72356	119726	Exc-transcriptome	6	5
132861	540097	Pan-transcriptome	6	6
0	0	Hard-Core-transcriptome	6	6
0	0	Soft-Core-transcriptome	6	6
65669	399317	Acc-transcriptome	6	6
67192	140780	Exc-transcriptome	6	6
139999	716963	Pan-transcriptome	6	7
13323	265235	Hard-Core-transcriptome	6	7
13323	265235	Soft-Core-transcriptome	6	7
65610	352606	Acc-transcriptome	6	7
61066	99122	Exc-transcriptome	6	7
121779	688330	Pan-transcriptome	6	8
1819	30842	Hard-Core-transcriptome	6	8
1819	30842	Soft-Core-transcriptome	6	8
74149	573737	Acc-transcriptome	6	8
45811	83751	Exc-transcriptome	6	8
116056	738493	Pan-transcriptome	6	9
14430	313455	Hard-Core-transcriptome	6	9
14430	313455	Soft-Core-transcriptome	6	9
55086	341990	Acc-transcriptome	6	9
46540	83048	Exc-transcriptome	6	9
104300	544312	Pan-transcriptome	6	10
0	0	Hard-Core-transcriptome	6	10
0	0	Soft-Core-transcriptome	6	10
55959	461403	Acc-transcriptome	6	10
48341	82909	Exc-transcriptome	6	10
139574	612495	Pan-transcriptome	6	11
0	0	Hard-Core-transcriptome	6	11
0	0	Soft-Core-transcriptome	6	11
71426	495173	Acc-transcriptome	6	11
68148	117322	Exc-transcriptome	6	11
112192	579921	Pan-transcriptome	6	12
0	0	Hard-Core-transcriptome	6	12
0	0	Soft-Core-transcriptome	6	12
52723	479861	Acc-transcriptome	6	12
59469	100060	Exc-transcriptome	6	12
96424	566346	Pan-transcriptome	6	13
0	0	Hard-Core-transcriptome	6	13
0	0	Soft-Core-transcriptome	6	13
51300	489060	Acc-transcriptome	6	13
45124	77286	Exc-transcriptome	6	13
144412	600405	Pan-transcriptome	6	14
0	0	Hard-Core-transcriptome	6	14
0	0	Soft-Core-transcriptome	6	14
71009	470583	Acc-transcriptome	6	14
73403	129822	Exc-transcriptome	6	14
118894	692052	Pan-transcriptome	6	15
1603	29748	Hard-Core-transcriptome	6	15
1603	29748	Soft-Core-transcriptome	6	15
50834	510599	Acc-transcriptome	6	15
66457	151705	Exc-transcriptome	6	15
141053	728135	Pan-transcriptome	6	16
13909	280424	Hard-Core-transcriptome	6	16
13909	280424	Soft-Core-transcriptome	6	16
54380	328219	Acc-transcriptome	6	16
72764	119492	Exc-transcriptome	6	16
127853	722727	Pan-transcriptome	6	17
13328	313252	Hard-Core-transcriptome	6	17
13328	313252	Soft-Core-transcriptome	6	17
41674	299085	Acc-transcriptome	6	17
72851	110390	Exc-transcriptome	6	17
97787	737781	Pan-transcriptome	7	0
0	0	Hard-Core-transcriptome	7	0
0	0	Soft-Core-transcriptome	7	0
52466	650280	Acc-transcriptome	7	0
45321	87501	Exc-transcriptome	7	0
124277	718903	Pan-transcriptome	7	1
0	0	Hard-Core-transcriptome	7	1
0	0	Soft-Core-transcriptome	7	1
51530	549129	Acc-transcriptome	7	1
72747	169774	Exc-transcriptome	7	1
145086	709497	Pan-transcriptome	7	2
0	0	Hard-Core-transcriptome	7	2
0	0	Soft-Core-transcriptome	7	2
77698	601617	Acc-transcriptome	7	2
67388	107880	Exc-transcriptome	7	2
137419	687365	Pan-transcriptome	7	3
0	0	Hard-Core-transcriptome	7	3
0	0	Soft-Core-transcriptome	7	3
57463	502688	Acc-transcriptome	7	3
79956	184677	Exc-transcriptome	7	3
133973	671803	Pan-transcriptome	7	4
0	0	Hard-Core-transcriptome	7	4
0	0	Soft-Core-transcriptome	7	4
72097	560019	Acc-transcriptome	7	4
61876	111784	Exc-transcriptome	7	4
114245	682357	Pan-transcriptome	7	5
0	0	Hard-Core-transcriptome	7	5
0	0	Soft-Core-transcriptome	7	5
57835	588519	Acc-transcriptome	7	5
56410	93838	Exc-transcriptome	7	5
140968	705161	Pan-transcriptome	7	6
0	0	Hard-Core-transcriptome	7	6
0	0	Soft-Core-transcriptome	7	6
71176	585404	Acc-transcriptome	7	6
69792	119757	Exc-transcriptome	7	6
133070	688699	Pan-transcriptome	7	7
0	0	Hard-Core-transcriptome	7	7
0	0	Soft-Core-transcriptome	7	7
80505	596205	Acc-transcriptome	7	7
52565	92494	Exc-transcriptome	7	7
142633	752818	Pan-transcriptome	7	8
0	0	Hard-Core-transcriptome	7	8
0	0	Soft-Core-transcriptome	7	8
60565	615858	Acc-transcriptome	7	8
82068	136960	Exc-transcriptome	7	8
139643	818089	Pan-transcriptome	7	9
1487	29131	Hard-Core-transcriptome	7	9
1487	29131	Soft-Core-transcriptome	7	9
85661	683688	Acc-transcriptome	7	9
52495	105270	Exc-transcriptome	7	9
134807	803166	Pan-transcriptome	7	10
1753	36476	Hard-Core-transcriptome	7	10
1753	36476	Soft-Core-transcriptome	7	10
65886	626224	Acc-transcriptome	7	10
67168	140466	Exc-transcriptome	7	10
143991	817678	Pan-transcriptome	7	11
13032	306117	Hard-Core-transcriptome	7	11
13032	306117	Soft-Core-transcriptome	7	11
59415	401038	Acc-transcriptome	7	11
71544	110523	Exc-transcriptome	7	11
119088	642044	Pan-transcriptome	7	12
0	0	Hard-Core-transcriptome	7	12
0	0	Soft-Core-transcriptome	7	12
46391	521950	Acc-transcriptome	7	12
72697	120094	Exc-transcriptome	7	12
113742	597463	Pan-transcriptome	7	13
0	0	Hard-Core-transcriptome	7	13
0	0	Soft-Core-transcriptome	7	13
49337	503477	Acc-transcriptome	7	13
64405	93986	Exc-transcriptome	7	13
123371	675696	Pan-transcriptome	7	14
0	0	Hard-Core-transcriptome	7	14
0	0	Soft-Core-transcriptome	7	14
50817	508262	Acc-transcriptome	7	14
72554	167434	Exc-transcriptome	7	14
109556	701270	Pan-transcriptome	7	15
0	0	Hard-Core-transcriptome	7	15
0	0	Soft-Core-transcriptome	7	15
64538	626698	Acc-transcriptome	7	15
45018	74572	Exc-transcriptome	7	15
129901	561028	Pan-transcriptome	7	16
0	0	Hard-Core-transcriptome	7	16
0	0	Soft-Core-transcriptome	7	16
49797	378681	Acc-transcriptome	7	16
80104	182347	Exc-transcriptome	7	16
104794	609975	Pan-transcriptome	7	17
0	0	Hard-Core-transcriptome	7	17
0	0	Soft-Core-transcriptome	7	17
57296	523066	Acc-transcriptome	7	17
47498	86909	Exc-transcriptome	7	17
109065	710181	Pan-transcriptome	8	0
0	0	Hard-Core-transcriptome	8	0
0	0	Soft-Core-transcriptome	8	0
60659	616689	Acc-transcriptome	8	0
48406	93492	Exc-transcriptome	8	0
139525	843623	Pan-transcriptome	8	1
0	0	Hard-Core-transcriptome	8	1
0	0	Soft-Core-transcriptome	8	1
64385	727315	Acc-transcriptome	8	1
75140	116308	Exc-transcriptome	8	1
125714	843949	Pan-transcriptome	8	2
0	0	Hard-Core-transcriptome	8	2
0	0	Soft-Core-transcriptome	8	2
71215	738857	Acc-transcriptome	8	2
54499	105092	Exc-transcriptome	8	2
156079	890206	Pan-transcriptome	8	3
1437	31244	Hard-Core-transcriptome	8	3
1437	31244	Soft-Core-transcriptome	8	3
85004	706661	Acc-transcriptome	8	3
69638	152301	Exc-transcriptome	8	3
118198	722066	Pan-transcriptome	8	4
0	0	Hard-Core-transcriptome	8	4
0	0	Soft-Core-transcriptome	8	4
63421	620155	Acc-transcriptome	8	4
54777	101911	Exc-transcriptome	8	4
109441	695063	Pan-transcriptome	8	5
0	0	Hard-Core-transcriptome	8	5
0	0	Soft-Core-transcriptome	8	5
68561	627179	Acc-transcriptome	8	5
40880	67884	Exc-transcriptome	8	5
135463	673524	Pan-transcriptome	8	6
0	0	Hard-Core-transcriptome	8	6
0	0	Soft-Core-transcriptome	8	6
66360	527696	Acc-transcriptome	8	6
69103	145828	Exc-transcriptome	8	6
136441	795333	Pan-transcriptome	8	7
0	0	Hard-Core-transcriptome	8	7
0	0	Soft-Core-transcriptome	8	7
62048	626689	Acc-transcriptome	8	7
74393	168644	Exc-transcriptome	8	7
142574	891927	Pan-transcriptome	8	8
1369	29629	Hard-Core-transcriptome	8	8
1369	29629	Soft-Core-transcriptome	8	8
