assembly,n_seqs,smallest,largest,n_bases,mean_len,n_under_200,n_over_1k,n_over_10k,n_with_orf,mean_orf_percent,n90,n70,n50,n30,n10,gc,bases_n,proportion_n,CRBB_hits,n_contigs_with_CRBB,p_contigs_with_CRBB,rbh_per_reference,n_refs_with_CRBB,p_refs_with_CRBB,cov25,p_cov25,cov50,p_cov50,cov75,p_cov75,cov85,p_cov85,cov95,p_cov95,reference_coverage,score,optimal_score,cutoff,weighted,genotype
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/PI651187.fasta,15379,301,1331,6533747,424.84862,0,10,0,83,46.21878,326,374,426,488,596,0.40635,0,0,13406,13406,0.87171,0.27816,10720,0.22243,8,0.00017,0,0,0,0,0,0,0,0,0.00016,NA,NA,NA,NA,PI651187
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/R9188.fasta,193094,301,16556,330066449,1709.35632,0,119225,113,109235,44.82413,843,1739,2442,3279,4827,0.47207,0,0,166319,166319,0.86134,3.45096,33451,0.69408,11237,0.23316,6393,0.13265,3147,0.0653,1888,0.03917,656,0.01361,0.12786,NA,NA,NA,NA,R9188
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/Rioref.fasta,261850,301,28278,590778227,2256.17043,0,194209,727,166698,37.6647,1286,2277,3081,4074,6089,0.4662,0,0,223947,223947,0.85525,4.64669,36677,0.76101,34825,0.72259,32461,0.67353,28694,0.59537,26503,0.54991,22911,0.47538,0.65221,NA,NA,NA,NA,Rioref
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/Rio.fasta,269520,301,16676,452292915,1678.14231,0,155183,228,145575,43.91029,776,1782,2541,3432,5100,0.47091,0,0,191256,191256,0.70962,3.96838,36829,0.76417,3846,0.0798,1748,0.03627,699,0.0145,406,0.00842,194,0.00403,0.04473,NA,NA,NA,NA,Rio
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/RTx430.fasta,325717,301,26119,910790220,2796.26246,0,254050,3334,216765,31.10194,1601,2824,3907,5281,8075,0.45877,0,0,272912,272912,0.83788,5.66266,37995,0.78836,36185,0.7508,33577,0.69669,29351,0.60901,26949,0.55917,23485,0.48729,0.67384,NA,NA,NA,NA,RTx430
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/S085.fasta,105633,301,14692,124253872,1176.27893,0,46573,35,55812,62.3409,537,1089,1628,2296,3711,0.50899,0,0,81592,81592,0.77241,1.69296,28943,0.60054,25535,0.52983,21781,0.45193,17203,0.35695,14272,0.29613,8400,0.17429,0.41817,NA,NA,NA,NA,S085
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/SC187.fasta,274139,301,17327,408829962,1491.32361,0,133766,316,117154,40.9537,615,1550,2415,3398,5282,0.4612,0,0,209821,209821,0.76538,4.35358,38209,0.7928,12592,0.26127,6911,0.1434,3092,0.06416,1881,0.03903,697,0.01446,0.15988,NA,NA,NA,NA,SC187
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/SM100.fasta,328147,301,25594,660876760,2013.96557,0,211806,790,179834,38.6903,1003,2115,3018,4085,6165,0.44609,0,0,228116,228116,0.69516,4.73319,35771,0.74221,3327,0.06903,1382,0.02868,566,0.01174,364,0.00755,204,0.00423,0.04219,NA,NA,NA,NA,SM100
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/TAM428.fasta,187200,301,15890,241001998,1287.40384,0,86134,53,84859,49.8099,558,1248,1932,2710,4132,0.46366,0,0,138505,138505,0.73988,2.87385,34795,0.72196,8748,0.18151,4679,0.09708,1989,0.04127,1117,0.02318,365,0.00757,0.09979,NA,NA,NA,NA,TAM428
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/Tx2737.fasta,251368,301,16395,388350154,1544.94667,0,139187,119,140338,49.7148,713,1573,2279,3136,4725,0.46435,0,0,151170,151170,0.60139,3.13663,34732,0.72066,1705,0.03538,634,0.01315,214,0.00444,137,0.00284,58,0.0012,0.02223,NA,NA,NA,NA,Tx2737
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/Tx3362.fasta,219529,301,16844,332276580,1513.58855,0,122150,103,119410,50.69584,715,1490,2176,3021,4584,0.49088,0,0,169997,169997,0.77437,3.52727,36441,0.75612,21888,0.45415,18563,0.38516,14845,0.30802,12660,0.26268,7685,0.15946,0.35064,NA,NA,NA,NA,Tx3362
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/Tx378.fasta,153777,301,16059,231724414,1506.88604,0,89884,55,91062,53.71476,750,1460,2070,2806,4212,0.49004,0,0,132465,132465,0.86141,2.74852,33101,0.68681,16982,0.35236,13550,0.28115,10233,0.21232,8200,0.17014,4044,0.08391,0.25388,NA,NA,NA,NA,Tx378
/Storage/data1/jorge.munoz/SORGHUM_PAN/assemblies/contig_300/Tx7000.fasta,141747,301,18372,259295404,1829.28319,0,92625,206,81603,45.50764,950,1856,2567,3459,5252,0.47349,0,0,119322,119322,0.8418,2.47582,31953,0.66299,1296,0.02689,523,0.01085,216,0.00448,133,0.00276,84,0.00174,0.01693,NA,NA,NA,NA,Tx7000
